model,score_test,root_mean_squared_error,mean_absolute_error,r2,pearsonr,spearmanr,median_absolute_error,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM_BAG_L2,-1.759279,-1.759279,-1.233215,0.731536,0.855606,0.817127,-0.807083,-1.783425,root_mean_squared_error,6.460743,31.555372,930.880960,0.541564,0.347577,3.670158,2,True,10
WeightedEnsemble_L3,-1.760317,-1.760317,-1.223438,0.731219,0.855162,0.817613,-0.793632,-1.760637,root_mean_squared_error,8.356589,55.102025,1445.428102,0.003000,0.000999,0.049000,3,True,14
LightGBMXT_BAG_L2,-1.760504,-1.760504,-1.238689,0.731162,0.855578,0.817629,-0.815934,-1.785949,root_mean_squared_error,6.448766,31.555410,930.968546,0.529587,0.347615,3.757744,2,True,9
CatBoost_BAG_L2,-1.762908,-1.762908,-1.229535,0.730427,0.854708,0.816149,-0.785669,-1.783353,root_mean_squared_error,6.151177,31.640478,1002.028506,0.231998,0.432683,74.817703,2,True,12
RandomForestMSE_BAG_L2,-1.772841,-1.772841,-1.225444,0.727381,0.852881,0.815874,-0.784777,-1.778081,root_mean_squared_error,6.474770,42.539017,1107.606294,0.555591,11.331222,180.395491,2,True,11
ExtraTreesMSE_BAG_L2,-1.773702,-1.773702,-1.226161,0.727116,0.852716,0.815418,-0.781577,-1.768086,root_mean_squared_error,6.494849,42.641929,1182.738007,0.575670,11.434134,255.527204,2,True,13
WeightedEnsemble_L2,-1.806373,-1.806373,-1.312165,0.716971,0.847448,0.809957,-0.923735,-1.808580,root_mean_squared_error,4.474469,17.116308,750.391726,0.003000,0.000000,0.036999,2,True,8
LightGBM_BAG_L1,-1.824359,-1.824359,-1.327170,0.711306,0.843405,0.804959,-0.938366,-1.854930,root_mean_squared_error,1.328191,1.265899,18.852920,1.328191,1.265899,18.852920,1,True,4
CatBoost_BAG_L1,-1.831984,-1.831984,-1.348655,0.708888,0.842055,0.805903,-0.966773,-1.855378,root_mean_squared_error,0.374320,0.498585,487.821235,0.374320,0.498585,487.821235,1,True,6
LightGBMXT_BAG_L1,-1.837831,-1.837831,-1.345532,0.707027,0.840858,0.803826,-0.954202,-1.863229,root_mean_squared_error,1.356552,1.288862,15.404945,1.356552,1.288862,15.404945,1,True,3
ExtraTreesMSE_BAG_L1,-1.869738,-1.869738,-1.332079,0.696766,0.835261,0.802108,-0.912199,-1.869948,root_mean_squared_error,0.538848,11.541679,227.748358,0.538848,11.541679,227.748358,1,True,7
RandomForestMSE_BAG_L1,-1.902675,-1.902675,-1.344411,0.685988,0.828380,0.796429,-0.904531,-1.909032,root_mean_squared_error,0.541367,11.440776,176.319943,0.541367,11.440776,176.319943,1,True,5
KNeighborsDist_BAG_L1,-2.409389,-2.409389,-1.658149,0.496464,0.724429,0.693813,-0.988537,-2.365201,root_mean_squared_error,0.873558,2.521283,0.527268,0.873558,2.521283,0.527268,1,True,2
KNeighborsUnif_BAG_L1,-2.432812,-2.432812,-1.683478,0.486626,0.718240,0.688859,-1.009882,-2.387131,root_mean_squared_error,0.906342,2.650711,0.536133,0.906342,2.650711,0.536133,1,True,1